0,"soh
S ow"
0,"ce
S iy"
0,"ayuso
ay uw S ow"
0,"owes
ow Z"
0,"haass
hh aa S"
0,"asa
aa S ah"
0,"hasse
hh aa S"
0,"sauey
S ao iy"
0,"ways
w ey Z"
0,"ozawa
ow Z aa w ah"
0,"sew
S ow"
0,"cy
S ay"
0,"hosea
hh ow S iy ah"
0,"soho
S ow hh ow"
0,"yoyos
y ow y ow Z"
0,"suhua
S uw hh w aa"
0,"oss
ao S"
0,"hoosegow
hh uw S aw"
0,"weis
w ay S"
0,"isaiah
ay Z ey ah"
0,"ze
Z iy"
0,"hosey
hh ow Z iy"
0,"easy
iy Z iy"
0,"zaucha
Z aw hh ah"
0,"heese
hh iy Z"
0,"highs
hh ay Z"
0,"haze
hh ey Z"
0,"hiss
hh ih S"
0,"sa
S aa"
0,"saw
S ao"
0,"ezoe
eh Z ow"
0,"zoe
Z ow iy"
0,"aways
ey w ey Z"
0,"huse
hh y uw Z"
0,"ssa
S aa"
0,"hees
hh iy Z"
0,"suu
eh S y uw y uw"
0,"hass
hh ae S"
0,"zhao
ZH aw"
0,"haese
hh iy S"
0,"issah
ih S ah"
0,"owosso
ow ao S ow"
0,"sigh
S ay"
0,"xie
Z iy"
0,"wice
w ay S"
0,"use
y uw S"
0,"issa
ih S ah"
0,"ooohs
uw Z"
0,"usss
ah S"
0,"eyas
ey ah Z"
0,"ss
eh S"
0,"wows
w aw Z"
0,"haso
hh aa S ow"
0,"wass
w ah S"
0,"hussy
hh ah S iy"
0,"iosue
ay ow S uw"
0,"acey
ey S iy"
0,"usa
y uw eh S ey"
0,"houghs
hh aw Z"
0,"su
S uw"
0,"siew
S uw"
0,"seay
S ey"
0,"os
aa S"
0,"z
Z iy"
0,"cie
S iy"
0,"xe
Z iy"
0,"say
S ey"
0,"haastia
hh aa S iy ah"
0,"whizz
w ih Z"
0,"hawse
hh ao S"
0,"ziwei
Z iy w ey"
0,"haas
hh aa S"
0,"ci
S iy"
0,"haws
hh ao Z"
0,"soo
S uw"
0,"sway
S w ey"
0,"sw
eh S w"
0,"howse
hh aw Z"
