85,614125
20,8000
47,103823
30,27000
50,125000
26,17576
97,912673
35,42875
78,474552
55,166375
88,681472
63,250047
56,175616
41,68921
67,300763
74,405224
68,314432
82,551368
44,85184
75,421875
95,857375
14,2744
22,10648
28,21952
18,5832
79,493039
59,205379
40,64000
38,54872
94,830584
73,389017
90,729000
39,59319
49,117649
31,29791
92,778688
48,110592
80,512000
93,804357
17,4913
98,941192
37,50653
54,157464
62,238328
27,19683
15,3375
13,2197
86,636056
51,132651
72,373248
69,328509
87,658503
61,226981
99,970299
81,531441
43,79507
34,39304
24,13824
77,456533
66,287496
71,357911
33,35937
76,438976
12,1728
23,12167
96,884736
42,74088
91,753571
57,185193
52,140608
83,571787
25,15625
84,592704
46,97336
29,24389
45,91125
19,6859
65,274625
64,262144
11,1331
70,343000
89,704969
16,4096
36,46656
60,216000
32,32768
21,9261
10,1000
58,195112
53,148877
