10 / 90,0.1111111111111111
45 / 84,0.5357142857142857
16 / 40,0.4
58 / 80,0.725
43 / 47,0.9148936170212766
42 / 73,0.5753424657534246
18 / 62,0.2903225806451613
22 / 90,0.24444444444444444
29 / 98,0.29591836734693877
7 / 19,0.3684210526315789
46 / 79,0.5822784810126582
30 / 84,0.35714285714285715
38 / 51,0.7450980392156863
10 / 21,0.47619047619047616
5 / 32,0.15625
16 / 28,0.5714285714285714
72 / 79,0.9113924050632911
35 / 99,0.35353535353535354
24 / 97,0.24742268041237114
44 / 50,0.88
25 / 33,0.7575757575757576
29 / 50,0.58
44 / 96,0.4583333333333333
55 / 69,0.7971014492753623
33 / 41,0.8048780487804879
14 / 21,0.6666666666666666
22 / 44,0.5
78 / 83,0.9397590361445783
12 / 75,0.16
27 / 37,0.7297297297297297
25 / 40,0.625
49 / 59,0.8305084745762712
53 / 83,0.6385542168674698
30 / 34,0.8823529411764706
39 / 72,0.5416666666666666
10 / 16,0.625
40 / 54,0.7407407407407407
7 / 12,0.5833333333333334
17 / 34,0.5
60 / 71,0.8450704225352113
12 / 76,0.15789473684210525
83 / 99,0.8383838383838383
22 / 93,0.23655913978494625
19 / 58,0.3275862068965517
31 / 49,0.6326530612244898
77 / 90,0.8555555555555555
62 / 95,0.6526315789473685
24 / 41,0.5853658536585366
28 / 99,0.2828282828282828
57 / 75,0.76
20 / 67,0.29850746268656714
36 / 65,0.5538461538461539
14 / 46,0.30434782608695654
28 / 71,0.39436619718309857
23 / 40,0.575
1 / 99,0.010101010101010102
55 / 91,0.6043956043956044
23 / 59,0.3898305084745763
27 / 50,0.54
77 / 95,0.8105263157894737
51 / 64,0.796875
29 / 63,0.4603174603174603
50 / 54,0.9259259259259259
31 / 51,0.6078431372549019
60 / 65,0.9230769230769231
41 / 45,0.9111111111111111
25 / 37,0.6756756756756757
1 / 37,0.02702702702702703
87 / 89,0.9775280898876404
28 / 63,0.4444444444444444
28 / 50,0.56
8 / 84,0.09523809523809523
32 / 50,0.64
