78,6084
34,1156
29,841
83,6889
55,3025
87,7569
77,5929
20,400
32,1024
84,7056
79,6241
39,1521
38,1444
74,5476
89,7921
30,900
86,7396
81,6561
98,9604
63,3969
57,3249
58,3364
27,729
11,121
46,2116
85,7225
12,144
82,6724
26,676
68,4624
65,4225
70,4900
64,4096
17,289
61,3721
91,8281
40,1600
97,9409
35,1225
21,441
53,2809
93,8649
95,9025
43,1849
36,1296
10,100
48,2304
33,1089
37,1369
92,8464
60,3600
56,3136
16,256
62,3844
15,225
69,4761
41,1681
72,5184
13,169
25,625
23,529
50,2500
24,576
45,2025
80,6400
96,9216
88,7744
42,1764
75,5625
52,2704
76,5776
44,1936
28,784
90,8100
67,4489
73,5329
31,961
19,361
49,2401
47,2209
18,324
54,2916
66,4356
51,2601
99,9801
14,196
22,484
94,8836
59,3481
71,5041
