12.3% of 988011.0,121525.35300000002
58.1% of 0.8,0.4648
94.6% of 95.0,89.86999999999999
85.1% of 0.6,0.5105999999999999
27.6% of 375.0,103.50000000000001
11.9% of 102.0,12.138000000000002
50.5% of 64.0,32.32
45.6% of 70.0,31.92
81.1% of 0.9,0.7299
14.6% of 7968052.0,1163335.592
8.3% of 9069425.0,752762.275
61.2% of 32.0,19.584
74.9% of 8091692.0,6060677.308000001
92.7% of 9586835.0,8886996.045
58.7% of 298.0,174.92600000000002
42.6% of 207829.0,88535.154
55.3% of 937.0,518.161
19.1% of 769.0,146.879
97.1% of 17.0,16.506999999999998
73.7% of 176066.0,129760.64199999999
31.1% of 638.0,198.418
92.3% of 1660847.0,1532961.781
61.8% of 348.0,215.064
41.9% of 3148756.0,1319328.764
54.3% of 8955790.0,4862993.97
20.7% of 66.0,13.661999999999999
48.2% of 394987.0,190383.73400000003
21.0% of 226776.0,47622.96
65.6% of 278.0,182.36799999999997
16.9% of 5093145.0,860741.5049999999
35.8% of 119.0,42.602
37.3% of 534636.0,199419.228
24.2% of 957.0,231.594
94.1% of 0.6,0.5646
40.8% of 0.7,0.28559999999999997
75.4% of 1513553.0,1141218.962
41.9% of 245.0,102.655
38.5% of 614.0,236.39000000000001
39.7% of 57.0,22.629
70.7% of 604596.0,427449.37200000003
66.7% of 32.0,21.344
79.8% of 831539.0,663568.122
6.9% of 879882.0,60711.85800000001
0.4% of 0.2,0.0008
9.1% of 5965538.0,542863.958
64.5% of 9569266.0,6172176.57
37.1% of 857089.0,317980.019
28.3% of 1.0,0.28300000000000003
59.7% of 1096406.0,654554.382
26.7% of 291.0,77.697
22.4% of 0.0,0.0
51.6% of 766381.0,395452.596
46.4% of 0.8,0.3712
24.2% of 928.0,224.576
46.8% of 143.0,66.92399999999999
13.3% of 762.0,101.346
9.6% of 0.8,0.07680000000000001
41.5% of 792194.0,328760.51
8.2% of 1.0,0.08199999999999999
47.8% of 805.0,384.78999999999996
15.9% of 0.9,0.1431
14.2% of 92.0,13.063999999999998
1.9% of 0.7,0.0133
50.0% of 57.0,28.5
16.8% of 51.0,8.568000000000001
31.5% of 5254935.0,1655304.525
60.3% of 23.0,13.869
9.2% of 471.0,43.332
82.3% of 7.0,5.760999999999999
21.3% of 95.0,20.235
4.6% of 0.7,0.0322
20.4% of 256.0,52.224
14.5% of 5309418.0,769865.61
26.5% of 853316.0,226128.74000000002
91.0% of 55.0,50.050000000000004
87.9% of 878.0,771.7620000000001
44.9% of 735708.0,330332.892
33.3% of 792194.0,263800.60199999996
43.7% of 819386.0,358071.68200000003
80.0% of 474949.0,379959.2
61.9% of 0.5,0.3095
36.9% of 4917798.0,1814667.462
37.1% of 63.0,23.373
14.2% of 4709899.0,668805.6579999999
71.3% of 336.0,239.56799999999998
89.2% of 601241.0,536306.9720000001
44.3% of 0.1,0.0443
55.5% of 648.0,359.64000000000004
50.1% of 320.0,160.32
33.7% of 348.0,117.27600000000001
2.6% of 26.0,0.676
20.3% of 374.0,75.92200000000001
57.1% of 984.0,561.864
37.5% of 492513.0,184692.375
11.9% of 237.0,28.203000000000003
34.1% of 839244.0,286182.204
10.6% of 585046.0,62014.876
6.0% of 165.0,9.9
46.2% of 0.0,0.0
17.9% of 5745371.0,1028421.409
54.7% of 70.0,38.290000000000006
39.8% of 6807386.0,2709339.6279999996
24.4% of 630878.0,153934.232
74.5% of 1443294.0,1075254.03
9.2% of 2869.0,263.948
39.9% of 407797.0,162711.003
91.1% of 638.0,581.218
27.1% of 474949.0,128711.179
1.7% of 16.0,0.272
92.1% of 8717992.0,8029270.631999999
16.4% of 250520.0,41085.27999999999
70.9% of 367.0,260.20300000000003
30.9% of 29.0,8.961
78.5% of 937.0,735.5450000000001
73.1% of 0.5,0.3655
4.0% of 539.0,21.56
52.5% of 14.0,7.3500000000000005
25.1% of 352904.0,88578.904
13.6% of 5333654.0,725376.944
62.7% of 2.0,1.254
76.4% of 988011.0,754840.404
27.0% of 9.0,2.43
30.0% of 18.0,5.3999999999999995
2.6% of 848102.0,22050.652000000002
22.5% of 584.0,131.4
89.4% of 165.0,147.51
73.4% of 59.0,43.306000000000004
2.4% of 262986.0,6311.664
29.8% of 21.0,6.258
29.1% of 0.4,0.11640000000000002
14.1% of 80.0,11.28
66.6% of 0.9,0.5993999999999999
15.5% of 0.8,0.124
19.0% of 6569813.0,1248264.47
34.4% of 256.0,88.064
37.4% of 61.0,22.814
6.5% of 0.9,0.0585
91.0% of 73.0,66.43
8.6% of 0.9,0.0774
4.1% of 8955790.0,367187.38999999996
42.0% of 488646.0,205231.31999999998
43.5% of 63.0,27.405
42.8% of 766381.0,328011.06799999997
33.3% of 1502376.0,500291.2079999999
15.2% of 18.0,2.7359999999999998
63.5% of 48.0,30.48
70.9% of 15.0,10.635000000000002
54.9% of 981446.0,538813.8539999999
17.8% of 74.0,13.172
33.8% of 413598.0,139796.12399999998
9.9% of 3337969.0,330458.93100000004
52.0% of 0.2,0.10400000000000001
77.4% of 652929.0,505367.04600000003
12.3% of 9253057.0,1138126.0110000002
77.1% of 225.0,173.47499999999997
39.3% of 6710156.0,2637091.3079999997
34.5% of 1046608.0,361079.75999999995
3.5% of 32.0,1.12
20.7% of 309.0,63.962999999999994
74.3% of 9586835.0,7123018.405
68.8% of 8091692.0,5567084.096
4.7% of 0.3,0.0141
